,loan_amnt,term_is_36,int_rate,grade,sub_grade,emp_length,annual_inc,purpose,addr_state,dti,inq_last_6mths,open_acc,pub_rec_bankruptcies,default
0,5000.0,1,0.1065,B,B2,10.0,24000.0,credit_card,AZ,0.27649999999999997,1.0,3.0,0,0
1,2500.0,0,0.1527,C,C4,0.0,30000.0,car,GA,0.01,5.0,3.0,0,1
2,2400.0,1,0.15960000000000002,C,C5,10.0,12252.0,small_business,IL,0.0872,2.0,2.0,0,0
3,10000.0,1,0.1349,C,C1,10.0,49200.0,other,CA,0.2,1.0,10.0,0,0
5,5000.0,1,0.079,A,A4,3.0,36000.0,wedding,AZ,0.11199999999999999,3.0,9.0,0,0
6,7000.0,0,0.15960000000000002,C,C5,8.0,47004.0,debt_consolidation,NC,0.2351,1.0,7.0,0,0
7,3000.0,1,0.1864,E,E1,9.0,48000.0,car,CA,0.0535,2.0,4.0,0,0
8,5600.0,0,0.21280000000000002,F,F2,4.0,40000.0,small_business,CA,0.0555,2.0,11.0,0,1
9,5375.0,0,0.12689999999999999,B,B5,0.0,15000.0,other,TX,0.1808,0.0,2.0,0,1
10,6500.0,0,0.1465,C,C3,5.0,72000.0,debt_consolidation,AZ,0.1612,2.0,14.0,0,0
11,12000.0,1,0.12689999999999999,B,B5,10.0,75000.0,debt_consolidation,CA,0.10779999999999999,0.0,12.0,0,0
12,9000.0,1,0.1349,C,C1,0.0,30000.0,debt_consolidation,VA,0.1008,1.0,4.0,0,1
13,3000.0,1,0.09910000000000001,B,B1,3.0,15000.0,credit_card,IL,0.12560000000000002,2.0,11.0,0,0
14,10000.0,1,0.1065,B,B2,3.0,100000.0,other,CA,0.0706,2.0,14.0,0,1
15,1000.0,1,0.1629,D,D1,0.0,28000.0,debt_consolidation,MO,0.20309999999999997,1.0,11.0,0,0
16,10000.0,1,0.1527,C,C4,4.0,42000.0,home_improvement,CA,0.18600000000000003,2.0,14.0,0,0
17,3600.0,1,0.0603,A,A1,10.0,110000.0,major_purchase,CT,0.1052,0.0,20.0,0,0
18,6000.0,1,0.11710000000000001,B,B3,1.0,84000.0,medical,UT,0.1844,0.0,4.0,0,0
19,9200.0,1,0.0603,A,A1,6.0,77385.19,debt_consolidation,CA,0.0986,0.0,8.0,0,0
